zone_id,billing_month,billed_kilo_liters,revenue_expected,collection_rate,revenue_collected
Z02,2025-04-01,266199.2,492468.52,0.91,448146.35
Z02,2025-05-01,327274.9,605458.57,0.915,553994.59
Z02,2025-06-01,354578.8,655970.78,0.953,625140.15
Z02,2025-07-01,383319.9,709141.82,0.826,585751.14
Z02,2025-08-01,377303.4,698011.29,0.862,601685.73
Z02,2025-09-01,318926.2,590013.47,0.876,516851.8
Z02,2025-10-01,277379.7,513152.45,0.916,470047.64
Z02,2025-11-01,226395.7,418832.05,0.854,357682.57
Z02,2025-12-01,202292.8,374241.68,0.905,338688.72
Z03,2023-01-01,103296.8,191099.08,0.878,167784.99
Z03,2023-02-01,100399.1,185738.34,0.903,167721.72
Z03,2023-03-01,127965.7,236736.55,0.871,206197.54
Z03,2023-04-01,150159.1,277794.34,0.859,238625.34
Z03,2023-05-01,181547.9,335863.61,0.924,310337.98
Z03,2023-06-01,197132.2,364694.57,0.966,352294.95
Z03,2023-07-01,214839.4,397452.89,0.951,377977.7
Z03,2023-08-01,202176.0,374025.6,0.966,361308.73
Z03,2023-09-01,177431.9,328249.02,0.972,319058.05
Z03,2023-10-01,155231.1,287177.54,0.902,259034.14
Z03,2023-11-01,124861.9,230994.52,1.0,230994.52
Z03,2023-12-01,114004.1,210907.59,0.948,199940.4
Z03,2024-01-01,106233.6,196532.16,0.863,169607.25
Z03,2024-02-01,105359.4,194914.89,0.877,170940.36
Z03,2024-03-01,132225.6,244617.36,0.918,224558.74
Z03,2024-04-01,152824.6,282725.51,0.954,269720.14
Z03,2024-05-01,185622.1,343400.89,0.899,308717.4
Z03,2024-06-01,203354.6,376206.01,0.861,323913.37
Z03,2024-07-01,219393.2,405877.42,0.95,385583.55
Z03,2024-08-01,209602.0,387763.7,0.854,331150.2
Z03,2024-09-01,182477.3,337583.01,0.925,312264.28
Z03,2024-10-01,158640.9,293485.66,0.912,267658.92
Z03,2024-11-01,128652.8,238007.68,0.843,200640.47
Z03,2024-12-01,116505.7,215535.55,0.999,215320.01
Z03,2025-01-01,108942.4,201543.44,0.911,183606.07
Z03,2025-02-01,103617.5,191692.38,0.851,163130.22
Z03,2025-03-01,134686.6,249170.21,0.912,227243.23
Z03,2025-04-01,155856.3,288334.15,0.823,237299.01
Z03,2025-05-01,189854.3,351230.46,0.928,325941.87
Z03,2025-06-01,209315.6,387233.86,0.953,369033.87
Z03,2025-07-01,225424.3,417034.96,1.0,417034.96
Z03,2025-08-01,219428.7,405943.1,0.915,371437.94
Z03,2025-09-01,185734.7,343609.2,0.877,301345.27
Z03,2025-10-01,162875.2,301319.12,0.92,277213.59
Z03,2025-11-01,133524.9,247021.07,0.982,242574.69
Z03,2025-12-01,120838.7,223551.6,0.935,209020.75
Z04,2023-01-01,56726.1,104943.29,0.952,99906.01
Z04,2023-02-01,54520.5,100862.93,0.948,95618.06
Z04,2023-03-01,68427.0,126589.95,0.935,118361.6
Z04,2023-04-01,80284.6,148526.51,0.84,124762.27
Z04,2023-05-01,98492.0,182210.2,0.837,152509.94
Z04,2023-06-01,106678.7,197355.6,0.831,164002.5
Z04,2023-07-01,116343.1,215234.74,0.85,182949.53
Z04,2023-08-01,110546.3,204510.66,0.856,175061.12
Z04,2023-09-01,97392.1,180175.39,1.0,180175.39
Z04,2023-10-01,83715.1,154872.94,0.875,135513.82
Z04,2023-11-01,69011.9,127672.01,0.915,116819.89
Z04,2023-12-01,61160.3,113146.56,0.898,101605.61
Z04,2024-01-01,58858.3,108887.86,0.92,100176.83
Z04,2024-02-01,57255.9,105923.42,0.914,96814.01
Z04,2024-03-01,71401.5,132092.77,0.847,111882.58
Z04,2024-04-01,82292.8,152241.68,0.94,143107.18
Z04,2024-05-01,99842.6,184708.81,0.876,161804.92
Z04,2024-06-01,110510.4,204444.24,0.874,178684.27
Z04,2024-07-01,116683.0,215863.55,0.895,193197.88
Z04,2024-08-01,113348.9,209695.46,0.95,199210.69
Z04,2024-09-01,97302.2,180009.07,0.879,158227.97
Z04,2024-10-01,83997.2,155394.82,0.915,142186.26
Z04,2024-11-01,69620.6,128798.11,0.93,119782.24
Z04,2024-12-01,62111.1,114905.54,0.923,106057.81
Z04,2025-01-01,59223.3,109563.11,0.92,100798.06
Z04,2025-02-01,55550.4,102768.24,0.84,86325.32
Z04,2025-03-01,72558.3,134232.86,0.916,122957.3
Z04,2025-04-01,84113.0,155609.05,0.864,134446.22
Z04,2025-05-01,102572.6,189759.31,0.822,155982.15
Z04,2025-06-01,113608.7,210176.1,0.887,186426.2
Z04,2025-07-01,119586.5,221235.03,0.884,195571.77
Z04,2025-08-01,114711.3,212215.91,1.0,212215.91
Z04,2025-09-01,98659.6,182520.26,0.959,175036.93
Z04,2025-10-01,86830.3,160636.06,0.949,152443.62
Z04,2025-11-01,71623.6,132503.66,0.89,117928.26
Z04,2025-12-01,63972.0,118348.2,0.901,106631.73
Z05,2023-01-01,71785.3,132802.81,1.0,132802.81
Z05,2023-02-01,69293.1,128192.24,0.878,112552.79
Z05,2023-03-01,87672.6,162194.31,0.923,149705.35
Z05,2023-04-01,103180.9,190884.67,1.0,190884.67
Z05,2023-05-01,125957.3,233021.01,0.874,203660.36
Z05,2023-06-01,135158.8,250043.78,0.917,229290.15
Z05,2023-07-01,147330.9,272562.16,0.909,247759.0
Z05,2023-08-01,141261.9,261334.52,0.866,226315.69
Z05,2023-09-01,123050.2,227642.87,0.949,216033.08
Z05,2023-10-01,108358.7,200463.6,0.854,171195.91
Z05,2023-11-01,86244.2,159551.77,0.949,151414.63
Z05,2023-12-01,78046.0,144385.1,0.931,134422.53
Z05,2024-01-01,73683.7,136314.85,0.955,130180.68
Z05,2024-02-01,73247.8,135508.43,0.9,121957.59
Z05,2024-03-01,91123.2,168577.92,0.929,156608.89
Z05,2024-04-01,105701.1,195547.04,0.961,187920.71
Z05,2024-05-01,129427.2,239440.32,0.84,201129.87
Z05,2024-06-01,140698.8,260292.78,0.85,221248.86
Z05,2024-07-01,150826.4,279028.84,0.939,262008.08
Z05,2024-08-01,144412.8,267163.68,0.951,254072.66
Z05,2024-09-01,124132.2,229644.57,0.917,210584.07
Z05,2024-10-01,110189.7,203850.95,0.956,194881.51
Z05,2024-11-01,89178.4,164980.04,0.892,147162.2
Z05,2024-12-01,80083.7,148154.85,0.973,144154.67
Z05,2025-01-01,75119.3,138970.71,0.906,125907.46
Z05,2025-02-01,73431.9,135849.01,0.871,118324.49
Z05,2025-03-01,93847.5,173617.88,0.981,170319.14
Z05,2025-04-01,107668.3,199186.36,0.951,189426.23
Z05,2025-05-01,132902.9,245870.36,0.887,218087.01
Z05,2025-06-01,146777.9,271539.11,0.888,241126.73
Z05,2025-07-01,154327.3,285505.51,0.94,268375.18
Z05,2025-08-01,150167.2,277809.32,0.86,238916.02
Z05,2025-09-01,127352.5,235602.12,0.926,218167.56
Z05,2025-10-01,114048.1,210988.99,0.902,190312.07
Z05,2025-11-01,92746.7,171581.39,0.921,158026.46
Z05,2025-12-01,82247.6,152158.06,0.809,123095.87
Z06,2023-01-01,60346.8,111641.58,0.865,96569.97
Z06,2023-02-01,57613.5,106584.98,0.923,98377.94
Z06,2023-03-01,74987.9,138727.61,0.963,133594.69
Z06,2023-04-01,83871.4,155162.09,0.903,140111.37
Z06,2023-05-01,106452.2,196936.57,0.946,186302.0
Z06,2023-06-01,117749.3,217836.21,0.836,182111.07
Z06,2023-07-01,121494.5,224764.83,0.888,199591.17
Z06,2023-08-01,121242.7,224298.99,0.924,207252.27
Z06,2023-09-01,102489.6,189605.76,0.907,171972.42
Z06,2023-10-01,91797.7,169825.74,0.948,160994.8
Z06,2023-11-01,74200.6,137271.11,0.897,123132.19
Z06,2023-12-01,64104.1,118592.59,0.898,106496.15
Z06,2024-01-01,63274.5,117057.83,0.943,110385.53
Z06,2024-02-01,61723.9,114189.22,0.883,100829.08
Z06,2024-03-01,74241.8,137347.33,0.865,118805.44
Z06,2024-04-01,89782.7,166097.99,0.933,154969.42
Z06,2024-05-01,110506.8,204437.58,0.862,176225.19
Z06,2024-06-01,113141.4,209311.59,0.981,205334.67
Z06,2024-07-01,128380.2,237503.37,0.818,194277.76
Z06,2024-08-01,121678.3,225104.86,0.895,201468.85
Z06,2024-09-01,105124.4,194480.14,0.991,192729.82
Z06,2024-10-01,91962.3,170130.26,1.0,170130.26
Z06,2024-11-01,73259.7,135530.45,0.905,122655.06
Z06,2024-12-01,67874.0,125566.9,0.965,121172.06
Z06,2025-01-01,64419.6,119176.26,0.949,113098.27
Z06,2025-02-01,61147.6,113123.06,0.885,100113.91
Z06,2025-03-01,76560.6,141637.11,0.933,132147.42
Z06,2025-04-01,91119.4,168570.89,0.867,146150.96
Z06,2025-05-01,109180.2,201983.37,0.832,168050.16
Z06,2025-06-01,119977.4,221958.19,0.935,207530.91
Z06,2025-07-01,132806.8,245692.58,0.938,230459.64
Z06,2025-08-01,125638.6,232431.41,0.851,197799.13
Z06,2025-09-01,109920.7,203353.3,0.903,183628.03
Z06,2025-10-01,96298.7,178152.6,0.851,151607.86
Z06,2025-11-01,74057.0,137005.45,0.887,121523.83
Z06,2025-12-01,69999.0,129498.15,0.888,114994.36
Z07,2023-01-01,85798.3,158726.86,0.947,150314.34
Z07,2023-02-01,79827.7,147681.24,0.885,130697.9
Z07,2023-03-01,103493.4,191462.79,0.847,162168.98
Z07,2023-04-01,122777.1,227137.64,0.996,226229.09
Z07,2023-05-01,147805.7,273440.55,0.935,255666.91
Z07,2023-06-01,160311.1,296575.54,0.955,283229.64
Z07,2023-07-01,177677.3,328703.01,0.94,308980.83
Z07,2023-08-01,167651.8,310155.83,0.957,296819.13
Z07,2023-09-01,145063.8,268368.03,0.932,250119.0
Z07,2023-10-01,126157.3,233391.01,0.933,217753.81
Z07,2023-11-01,102620.1,189847.19,0.916,173900.03
Z07,2023-12-01,92602.3,171314.26,0.888,152127.06
Z07,2024-01-01,87732.9,162305.86,0.954,154839.79
Z07,2024-02-01,86676.4,160351.34,0.897,143835.15
Z07,2024-03-01,108546.1,200810.29,0.916,183942.23
Z07,2024-04-01,124911.0,231085.35,0.929,214678.29
Z07,2024-05-01,154558.9,285933.97,0.933,266776.39
Z07,2024-06-01,168580.4,311873.74,0.859,267899.54
Z07,2024-07-01,179056.2,331253.97,0.92,304753.65
Z07,2024-08-01,171660.0,317571.0,0.859,272793.49
Z07,2024-09-01,148505.2,274734.62,0.919,252481.12
Z07,2024-10-01,130235.1,240934.94,0.949,228647.26
Z07,2024-11-01,105921.0,195953.85,1.0,195953.85
Z07,2024-12-01,94843.1,175459.74,0.939,164756.7
Z07,2025-01-01,89759.9,166055.82,0.953,158251.2
Z07,2025-02-01,86350.5,159748.43,0.856,136744.66
Z07,2025-03-01,111520.2,206312.37,0.937,193314.69
Z07,2025-04-01,126867.0,234703.95,0.854,200437.17
Z07,2025-05-01,155761.8,288159.33,0.97,279514.55
Z07,2025-06-01,172652.2,319406.57,0.857,273731.43
Z07,2025-07-01,186576.8,345167.08,0.861,297188.86
Z07,2025-08-01,179500.4,332075.74,0.948,314807.8
Z07,2025-09-01,152898.0,282861.3,0.994,281164.13
Z07,2025-10-01,133785.9,247503.92,0.963,238346.27
Z07,2025-11-01,108502.7,200729.99,0.892,179051.15
Z07,2025-12-01,96389.4,178320.39,0.861,153533.86
Z08,2023-01-01,65960.7,122027.29,0.889,108482.26
Z08,2023-02-01,63122.7,116776.99,0.916,106967.72
Z08,2023-03-01,81453.4,150688.79,0.906,136524.04
Z08,2023-04-01,95368.7,176432.1,0.859,151555.17
Z08,2023-05-01,113995.2,210891.12,0.974,205407.95
Z08,2023-06-01,125413.1,232014.24,0.975,226213.88
Z08,2023-07-01,136635.0,252774.75,1.0,252774.75
Z08,2023-08-01,130339.4,241127.89,0.827,199412.77
Z08,2023-09-01,114437.1,211708.64,0.87,184186.52
Z08,2023-10-01,98686.5,182570.03,0.923,168512.14
Z08,2023-11-01,80013.8,148025.53,0.91,134703.23
Z08,2023-12-01,71174.7,131673.2,0.888,116925.8
Z08,2024-01-01,66639.1,123282.34,0.867,106885.79
Z08,2024-02-01,66135.6,122350.86,0.86,105221.74
Z08,2024-03-01,82735.3,153060.31,1.0,153060.31
Z08,2024-04-01,96595.6,178701.86,0.839,149930.86
Z08,2024-05-01,115923.3,214458.11,0.832,178429.15
Z08,2024-06-01,127820.7,236468.3,0.851,201234.52
Z08,2024-07-01,138511.6,256246.46,0.92,235746.74
Z08,2024-08-01,131387.4,243066.69,0.896,217787.75
Z08,2024-09-01,114522.8,211867.18,0.931,197248.34
Z08,2024-10-01,98689.8,182576.13,0.875,159754.11
Z08,2024-11-01,80586.1,149084.29,0.914,136263.04
Z08,2024-12-01,70837.3,131049.01,0.914,119778.8
Z08,2025-01-01,69377.8,128348.93,0.989,126937.09
Z08,2025-02-01,65067.7,120375.24,0.999,120254.86
Z08,2025-03-01,84864.6,156999.51,0.902,141613.56
Z08,2025-04-01,96804.4,179088.14,0.953,170671.0
Z08,2025-05-01,118267.8,218795.43,0.918,200854.2
Z08,2025-06-01,128498.8,237722.78,0.949,225598.92
Z08,2025-07-01,136581.0,252674.85,0.929,234734.94
Z08,2025-08-01,133703.6,247351.66,0.947,234242.02
Z08,2025-09-01,116945.4,216348.99,0.953,206180.59
Z08,2025-10-01,100743.2,186374.92,0.931,173515.05
Z08,2025-11-01,81823.0,151372.55,0.917,138808.63
Z08,2025-12-01,73016.0,135079.6,0.962,129946.58
