date,zone_id,population_est,billed_consumption_liters,production_volume_liters,avg_pressure_bar
2023-02-20,Z01,48000,4048982,4543046,3.76
2023-02-21,Z01,48000,4101241,4601682,3.78
2023-02-22,Z01,48000,4313887,4840275,4.18
2023-02-23,Z01,48000,4366221,4898996,3.23
2023-02-24,Z01,48000,4200071,4712572,3.99
2023-02-25,Z01,48000,5069610,5688214,3.17
2023-02-26,Z01,48000,4937212,5539660,3.32
2023-02-27,Z01,48000,4503748,5053304,3.42
2023-02-28,Z01,48000,4269069,4789989,3.83
2023-03-01,Z01,48000,4516558,5067678,3.06
2023-03-02,Z01,48000,4266308,4786891,3.13
2023-03-03,Z01,48000,4628376,5193139,3.28
2023-03-04,Z01,48000,4985251,5593561,3.62
2023-03-05,Z01,48000,4693665,5266395,3.13
2023-03-06,Z01,48000,4446321,4988869,3.73
2023-03-07,Z01,48000,4752795,5332740,3.42
2023-03-08,Z01,48000,4426793,4966959,3.93
2023-03-09,Z01,48000,4466180,5011152,3.63
2023-03-10,Z01,48000,4964668,5570467,4.48
2023-03-11,Z01,48000,5305854,5953284,3.66
2023-03-12,Z01,48000,4950131,5554156,2.99
2023-03-13,Z01,48000,4562416,5119131,3.49
2023-03-14,Z01,48000,4915786,5515620,3.61
2023-03-15,Z01,48000,4575272,5133555,3.15
2023-03-16,Z01,48000,4907989,5506872,4.36
2023-03-17,Z01,48000,4979962,5587627,3.45
2023-03-18,Z01,48000,5057163,5674248,3.28
2023-03-19,Z01,48000,5168152,5798780,3.69
2023-03-20,Z01,48000,4763874,5345171,3.15
2023-03-21,Z01,48000,4759604,5340380,4.08
2023-03-22,Z01,48000,5049574,5955887,3.98
2023-03-23,Z01,48000,4893585,5771901,3.67
2023-03-24,Z01,48000,5087097,6000145,3.9
2023-03-25,Z01,48000,5518174,6508593,3.35
2023-03-26,Z01,48000,5619982,6628674,2.85
2023-03-27,Z01,48000,4797615,5658706,3.44
2023-03-28,Z01,48000,5277420,6224627,3.35
2023-03-29,Z01,48000,4939098,5825582,2.58
2023-03-30,Z01,48000,5447930,6425741,3.07
2023-03-31,Z01,48000,5253108,6195952,2.98
2023-04-01,Z01,48000,5996045,7072234,3.07
2023-04-02,Z01,48000,6046275,7131479,4.27
2023-04-03,Z01,48000,5112478,6030081,3.86
2023-04-04,Z01,48000,5760725,6794678,4.08
2023-04-05,Z01,48000,5219389,5856269,3.85
2023-04-06,Z01,48000,5102174,5724751,4.14
2023-04-07,Z01,48000,5488818,6158574,3.61
2023-04-08,Z01,48000,6292813,7060674,4.36
2023-04-09,Z01,48000,5789975,6496479,2.98
2023-04-10,Z01,48000,5772343,6476695,3.57
2023-04-11,Z01,48000,5259106,5900832,3.09
2023-04-12,Z01,48000,5659869,6350497,4.22
2023-04-13,Z01,48000,5865056,6580722,3.81
2023-04-14,Z01,48000,5416507,6077439,4.19
2023-04-15,Z01,48000,6353374,7128625,2.9
2023-04-16,Z01,48000,6309154,7079009,3.3
2023-04-17,Z01,48000,6021580,6756344,2.71
2023-04-18,Z01,48000,5573557,6253653,3.78
2023-04-19,Z01,48000,5722738,6421038,3.39
2023-04-20,Z01,48000,5792841,6499694,3.98
2023-04-21,Z01,48000,6292373,7060181,3.62
2023-04-22,Z01,48000,6100539,6844939,2.53
2023-04-23,Z01,48000,6774139,7600733,2.77
2023-04-24,Z01,48000,6038099,6774879,3.64
2023-04-25,Z01,48000,6139898,6889100,3.83
2023-04-26,Z01,48000,6183357,6937862,2.49
2023-04-27,Z01,48000,6197692,6953946,3.56
2023-04-28,Z01,48000,6120274,6867081,3.09
2023-04-29,Z01,48000,6900578,7742600,3.04
2023-04-30,Z01,48000,7323946,8217628,3.27
2023-05-01,Z01,48000,5709772,6406489,3.66
2023-05-02,Z01,48000,6625194,7433613,3.25
2023-05-03,Z01,48000,6983094,7835184,2.61
2023-05-04,Z01,48000,5954012,6680532,3.66
2023-05-05,Z01,48000,6409287,7191360,3.42
2023-05-06,Z01,48000,7546995,8467893,3.13
2023-05-07,Z01,48000,7062076,7923804,3.45
2023-05-08,Z01,48000,6718671,7538496,3.43
2023-05-09,Z01,48000,6435737,7221038,3.62
2023-05-10,Z01,48000,5825995,6536894,3.48
2023-05-11,Z01,48000,6830334,7663785,3.68
2023-05-12,Z01,48000,6902736,7745022,3.58
2023-05-13,Z01,48000,7711619,8652605,4.01
2023-05-14,Z01,48000,7044557,7904147,4.39
2023-05-15,Z01,48000,6599616,7404913,3.59
2023-05-16,Z01,48000,6953575,7802064,3.29
2023-05-17,Z01,48000,7111858,7979661,2.88
2023-05-18,Z01,48000,7439677,8347481,3.92
2023-05-19,Z01,48000,6731919,7553361,3.15
2023-05-20,Z01,48000,7394803,8297131,4.77
2023-05-21,Z01,48000,8325149,9340999,4.99
2023-05-22,Z01,48000,6644216,7454956,3.49
2023-05-23,Z01,48000,7058426,7919709,2.77
2023-05-24,Z01,48000,6869640,7707886,3.93
2023-05-25,Z01,48000,7313025,8205375,4.65
2023-05-26,Z01,48000,7132541,8002868,2.94
2023-05-27,Z01,48000,7403167,8306516,4.55
2023-05-28,Z01,48000,7855960,8814559,2.68
2023-05-29,Z01,48000,6919563,7763901,2.87
2023-05-30,Z01,48000,7216307,8096854,3.75
2023-05-31,Z01,48000,7375141,8275070,4.11
2023-06-01,Z01,48000,7482532,8395565,3.57
2023-06-02,Z01,48000,7285844,8174877,3.82
2023-06-03,Z01,48000,7714629,8655983,4.15
2023-06-04,Z01,48000,8028377,9008015,4.21
2023-06-05,Z01,48000,7026752,7884170,3.29
2023-06-06,Z01,48000,6905924,7748598,3.17
2023-06-07,Z01,48000,7789761,8740282,4.13
2023-06-08,Z01,48000,7467720,8378945,3.83
2023-06-09,Z01,48000,7590257,8516435,3.89
2023-06-10,Z01,48000,7761224,8708263,3.27
2023-06-11,Z01,48000,8342916,9360935,3.92
2023-06-12,Z01,48000,7146021,8017992,3.05
2023-06-13,Z01,48000,7343181,8239210,3.72
2023-06-14,Z01,48000,7801827,8753821,3.66
2023-06-15,Z01,48000,7611783,8540588,3.66
2023-06-16,Z01,48000,7628020,8558805,3.99
2023-06-17,Z01,48000,8265317,9273866,3.09
2023-06-18,Z01,48000,8389772,9413509,3.94
2023-06-19,Z01,48000,7855148,8813648,3.61
2023-06-20,Z01,48000,7854041,8812406,3.2
2023-06-21,Z01,48000,7791236,8741938,2.94
2023-06-22,Z01,48000,7519914,8437508,4.54
2023-06-23,Z01,48000,7615323,8544559,3.57
2023-06-24,Z01,48000,8623741,9676026,3.42
2023-06-25,Z01,48000,8136399,9129218,3.03
2023-06-26,Z01,48000,7727189,8670076,4.14
2023-06-27,Z01,48000,8170463,9167439,4.11
2023-06-28,Z01,48000,7818474,8772499,4.01
2023-06-29,Z01,48000,7380302,8280861,3.57
2023-06-30,Z01,48000,7031694,7889715,3.98
2023-07-01,Z01,48000,8888794,9973422,3.19
2023-07-02,Z01,48000,8857899,9938757,3.71
2023-07-03,Z01,48000,7907689,8872600,3.57
2023-07-04,Z01,48000,8199606,9200137,3.73
2023-07-05,Z01,48000,8373633,9395400,2.69
2023-07-06,Z01,48000,8081154,9067232,4.53
2023-07-07,Z01,48000,7458393,8368480,4.41
2023-07-08,Z01,48000,9410394,10558669,3.02
2023-07-09,Z01,48000,8565412,9610580,3.89
2023-07-10,Z01,48000,7807056,8759688,2.86
2023-07-11,Z01,48000,7993978,8969419,3.64
2023-07-12,Z01,48000,8082308,9068527,2.5
2023-07-13,Z01,48000,8075121,9060463,3.45
2023-07-14,Z01,48000,8260406,9268357,3.36
2023-07-15,Z01,48000,8406707,9432509,4.18
2023-07-16,Z01,48000,8798055,9871610,4.43
2023-07-17,Z01,48000,8528496,9569159,4.45
2023-07-18,Z01,48000,7781131,8730600,4.18
2023-07-19,Z01,48000,8609681,9660251,3.64
2023-07-20,Z01,48000,7984815,8959138,3.79
2023-07-21,Z01,48000,8509838,9548224,3.79
2023-07-22,Z01,48000,8342913,9360931,3.01
2023-07-23,Z01,48000,8952034,10044378,4.17
2023-07-24,Z01,48000,7595627,8522460,3.95
2023-07-25,Z01,48000,7835228,8791297,3.97
2023-07-26,Z01,48000,8067277,9051662,2.46
2023-07-27,Z01,48000,7981112,8954982,3.83
2023-07-28,Z01,48000,8834586,9912599,4.1
2023-07-29,Z01,48000,8955351,10048101,3.59
2023-07-30,Z01,48000,8456697,9488600,3.35
2023-07-31,Z01,48000,8124153,9115478,2.92
2023-08-01,Z01,48000,7777956,8727037,2.88
2023-08-02,Z01,48000,8266554,9275255,3.68
2023-08-03,Z01,48000,7503041,8418577,3.48
2023-08-04,Z01,48000,7930637,8898349,3.48
2023-08-05,Z01,48000,8376451,9398562,4.36
2023-08-06,Z01,48000,8410400,9436654,2.97
2023-08-07,Z01,48000,8326771,9342820,3.43
2023-08-08,Z01,48000,7441345,8349352,4.45
2023-08-09,Z01,48000,7711642,8652631,3.44
2023-08-10,Z01,48000,7365911,8264714,3.63
2023-08-11,Z01,48000,6972913,7823761,3.51
2023-08-12,Z01,48000,8199982,9200560,3.95
2023-08-13,Z01,48000,8718384,9782218,2.57
2023-08-14,Z01,48000,7706753,8647145,3.5
2023-08-15,Z01,48000,7695991,8635070,3.63
2023-08-16,Z01,48000,7894859,8858205,3.1
2023-08-17,Z01,48000,7305759,8197222,3.77
2023-08-18,Z01,48000,8014649,8992612,3.99
2023-08-19,Z01,48000,8292920,9304838,3.83
2023-08-20,Z01,48000,7776063,8724913,4.49
2023-08-21,Z01,48000,7572323,8496312,3.38
2023-08-22,Z01,48000,7596552,8523498,3.85
2023-08-23,Z01,48000,6747863,7571251,3.84
2023-08-24,Z01,48000,7707485,8647968,3.48
2023-08-25,Z01,48000,7573153,8497244,4.17
2023-08-26,Z01,48000,8126404,9118003,3.74
2023-08-27,Z01,48000,7755817,8702197,3.0
2023-08-28,Z01,48000,7463400,8374098,3.98
2023-08-29,Z01,48000,7800837,8752711,3.35
2023-08-30,Z01,48000,7156503,8029753,3.44
2023-08-31,Z01,48000,7167835,8042468,3.48
2023-09-01,Z01,48000,7253911,8139048,3.97
2023-09-02,Z01,48000,8316180,9330937,4.14
2023-09-03,Z01,48000,8135927,9128689,3.52
2023-09-04,Z01,48000,7097565,7963624,3.49
2023-09-05,Z01,48000,7372496,8272102,2.58
2023-09-06,Z01,48000,7104635,7971557,3.25
2023-09-07,Z01,48000,7222008,8103252,3.13
2023-09-08,Z01,48000,7350206,8247092,3.76
2023-09-09,Z01,48000,8293929,9305971,3.55
2023-09-10,Z01,48000,7830035,8785471,3.15
2023-09-11,Z01,48000,7526917,8445366,3.68
2023-09-12,Z01,48000,7101318,7967835,3.57
2023-09-13,Z01,48000,6955631,7804370,2.33
2023-09-14,Z01,48000,6917739,7761855,4.15
2023-09-15,Z01,48000,6433417,7218435,4.11
2023-09-16,Z01,48000,7875103,8836039,3.48
2023-09-17,Z01,48000,7119450,7988179,3.78
2023-09-18,Z01,48000,7021766,7878575,3.44
2023-09-19,Z01,48000,7048480,7908549,2.8
2023-09-20,Z01,48000,6772886,7599326,4.68
2023-09-21,Z01,48000,6174740,6928194,3.97
2023-09-22,Z01,48000,6437046,7222507,4.07
2023-09-23,Z01,48000,7212070,8092100,3.46
2023-09-24,Z01,48000,7512232,8428889,4.16
2023-09-25,Z01,48000,6589390,7393440,2.91
2023-09-26,Z01,48000,6575919,7378326,3.48
2023-09-27,Z01,48000,6204223,6961274,3.97
2023-09-28,Z01,48000,6873105,7711774,3.29
2023-09-29,Z01,48000,6581740,7384857,4.06
2023-09-30,Z01,48000,7194304,8072167,3.75
2023-10-01,Z01,48000,7272101,8159457,3.7
2023-10-02,Z01,48000,5941889,6666929,3.24
2023-10-03,Z01,48000,6148397,6898636,3.8
2023-10-04,Z01,48000,6116247,6862563,4.57
2023-10-05,Z01,48000,6015305,6749304,3.69
2023-10-06,Z01,48000,6345200,7119453,3.88
2023-10-07,Z01,48000,6629771,7438748,3.95
2023-10-08,Z01,48000,6724543,7545085,3.03
2023-10-09,Z01,48000,5857980,6572782,3.53
2023-10-10,Z01,48000,6633048,7442426,3.52
2023-10-11,Z01,48000,5933897,6657963,2.54
2023-10-12,Z01,48000,6079449,6821275,3.99
2023-10-13,Z01,48000,6190452,6945823,3.13
2023-10-14,Z01,48000,6335553,7108630,3.94
2023-10-15,Z01,48000,6473428,7263328,3.22
2023-10-16,Z01,48000,5425892,6087970,4.62
2023-10-17,Z01,48000,5348349,6000965,3.46
2023-10-18,Z01,48000,5609533,6294019,4.56
2023-10-19,Z01,48000,5471407,6139039,3.51
2023-10-20,Z01,48000,5564116,6243060,3.57
2023-10-21,Z01,48000,5949821,6675830,4.38
2023-10-22,Z01,48000,6357061,7132762,3.14
2023-10-23,Z01,48000,5474110,6142071,3.62
2023-10-24,Z01,48000,5557070,6235154,3.87
2023-10-25,Z01,48000,5774216,6478797,3.8
2023-10-26,Z01,48000,5401384,6060471,3.62
2023-10-27,Z01,48000,5244435,5884371,3.55
2023-10-28,Z01,48000,6095254,6839008,4.02
2023-10-29,Z01,48000,5636548,6324330,3.69
2023-10-30,Z01,48000,5354534,6007904,4.08
2023-10-31,Z01,48000,5624429,6310733,3.8
2023-11-01,Z01,48000,5072635,5691608,3.93
2023-11-02,Z01,48000,4910625,5509829,4.17
2023-11-03,Z01,48000,5392305,6050284,3.44
2023-11-04,Z01,48000,5733450,6433056,4.15
2023-11-05,Z01,48000,5408079,6067983,3.52
2023-11-06,Z01,48000,5323745,5973358,2.9
2023-11-07,Z01,48000,5375343,6031252,3.44
2023-11-08,Z01,48000,4888837,5485382,3.24
2023-11-09,Z01,48000,4610155,5172695,3.79
2023-11-10,Z01,48000,4710533,5285321,3.46
2023-11-11,Z01,48000,5485706,6155083,3.66
2023-11-12,Z01,48000,5667471,6359027,4.11
2023-11-13,Z01,48000,4964430,5570199,4.34
2023-11-14,Z01,48000,4579295,5138069,3.75
2023-11-15,Z01,48000,4824370,5413048,4.14
2023-11-16,Z01,48000,4798494,5384016,3.51
2023-11-17,Z01,48000,4727677,5304558,2.82
2023-11-18,Z01,48000,5195897,5829910,3.01
2023-11-19,Z01,48000,4898585,5496320,3.5
2023-11-20,Z01,48000,4601043,5162471,4.0
2023-11-21,Z01,48000,4807059,5393625,3.5
2023-11-22,Z01,48000,4816924,5404694,4.19
2023-11-23,Z01,48000,4512741,5063394,4.52
2023-11-24,Z01,48000,4494250,5042647,3.16
2023-11-25,Z01,48000,4598875,5160039,4.66
2023-11-26,Z01,48000,5012501,5624135,2.78
2023-11-27,Z01,48000,4059545,4554899,4.52
2023-11-28,Z01,48000,4727462,5304317,3.58
2023-11-29,Z01,48000,4249638,4768187,3.48
2023-11-30,Z01,48000,4675855,5246411,3.6
2023-12-01,Z01,48000,4346175,4876503,3.2
2023-12-02,Z01,48000,4992121,5601269,4.35
2023-12-03,Z01,48000,4675029,5245486,3.25
2023-12-04,Z01,48000,4508210,5058310,3.32
2023-12-05,Z01,48000,4356374,4887948,2.91
2023-12-06,Z01,48000,4483541,5030632,3.23
2023-12-07,Z01,48000,4476963,5023251,3.25
2023-12-08,Z01,48000,4361201,4893363,3.22
2023-12-09,Z01,48000,4965908,5571858,3.51
2023-12-10,Z01,48000,4559998,5116418,3.04
2023-12-11,Z01,48000,4314736,4841228,4.4
2023-12-12,Z01,48000,4337985,4867314,3.52
2023-12-13,Z01,48000,4227484,4743329,3.79
2023-12-14,Z01,48000,3985248,4471536,4.03
2023-12-15,Z01,48000,4458318,5002331,4.61
2023-12-16,Z01,48000,4951119,5555264,4.05
2023-12-17,Z01,48000,4670306,5240185,3.48
2023-12-18,Z01,48000,3848202,4317767,3.06
2023-12-19,Z01,48000,3881069,4354645,3.77
2023-12-20,Z01,48000,4205791,4718989,4.13
2023-12-21,Z01,48000,4268404,4789243,3.67
2023-12-22,Z01,48000,3980182,4465852,3.63
2023-12-23,Z01,48000,4700636,5274216,3.71
2023-12-24,Z01,48000,4301371,4826233,2.67
2023-12-25,Z01,48000,3837346,4305587,3.67
2023-12-26,Z01,48000,4145688,4651553,3.97
2023-12-27,Z01,48000,3994831,4482288,3.58
2023-12-28,Z01,48000,3844769,4313915,4.16
2023-12-29,Z01,48000,4009593,4498851,4.18
2023-12-30,Z01,48000,4321107,4848376,3.35
2023-12-31,Z01,48000,4440789,4982663,3.82
2024-01-01,Z01,48000,3770128,4230166,3.62
2024-01-02,Z01,48000,3839160,4307622,2.59
2024-01-03,Z01,48000,3932477,4412325,3.51
2024-01-04,Z01,48000,4176635,4686276,3.08
2024-01-05,Z01,48000,3890050,4364722,3.67
2024-01-06,Z01,48000,4467890,5013071,3.94
2024-01-07,Z01,48000,4231476,4747809,3.49
2024-01-08,Z01,48000,4129134,4632979,3.15
2024-01-09,Z01,48000,3992088,4479210,3.72
2024-01-10,Z01,48000,3624456,4066719,4.82
2024-01-11,Z01,48000,3814142,4279551,2.51
2024-01-12,Z01,48000,4218156,4732863,3.72
2024-01-13,Z01,48000,4221631,4736762,3.33
2024-01-14,Z01,48000,4171665,4680699,3.39
2024-01-15,Z01,48000,4217704,4732356,3.55
2024-01-16,Z01,48000,3961710,4445125,3.43
2024-01-17,Z01,48000,3625791,4068217,3.9
2024-01-18,Z01,48000,4157328,4664614,3.48
2024-01-19,Z01,48000,3820331,4286495,2.52
2024-01-20,Z01,48000,4255107,4774324,4.24
2024-01-21,Z01,48000,4470331,5015809,4.16
2024-01-22,Z01,48000,4039957,4532920,3.3
2024-01-23,Z01,48000,3718298,4172012,3.62
2024-01-24,Z01,48000,3850933,4320832,4.21
2024-01-25,Z01,48000,4063782,4559652,4.12
2024-01-26,Z01,48000,3705702,4157879,4.28
2024-01-27,Z01,48000,4536976,5090586,3.79
2024-01-28,Z01,48000,4448500,4991315,3.98
2024-01-29,Z01,48000,4042490,4535762,4.3
2024-01-30,Z01,48000,4157628,4664950,3.43
2024-01-31,Z01,48000,4123375,4626517,3.82
2024-02-01,Z01,48000,4142958,4648490,2.53
2024-02-02,Z01,48000,3932533,4412389,2.81
2024-02-03,Z01,48000,4626442,5190969,3.85
2024-02-04,Z01,48000,4543437,5097836,3.93
2024-02-05,Z01,48000,4188447,4699529,3.41
2024-02-06,Z01,48000,3908609,4385545,3.3
2024-02-07,Z01,48000,4379885,4914328,3.42
2024-02-08,Z01,48000,4232329,4748766,3.7
2024-02-09,Z01,48000,4299772,4824438,2.44
2024-02-10,Z01,48000,4901238,5499297,3.83
2024-02-11,Z01,48000,4547615,5102524,3.62
2024-02-12,Z01,48000,4072165,4569058,3.72
2024-02-13,Z01,48000,3825524,4292322,3.54
2024-02-14,Z01,48000,3994505,4481922,2.91
2024-02-15,Z01,48000,4629284,5194158,3.05
2024-02-16,Z01,48000,4157220,4664492,4.36
2024-02-17,Z01,48000,4595618,5156384,3.28
2024-02-18,Z01,48000,4350730,4881614,4.0
2024-02-19,Z01,48000,4119424,4622084,3.06
2024-02-20,Z01,48000,4155756,4662849,3.59
2024-02-21,Z01,48000,4320519,4847717,3.38
2024-02-22,Z01,48000,4139552,4644668,3.46
2024-02-23,Z01,48000,4388456,4923944,3.43
2024-02-24,Z01,48000,4935289,5537503,4.32
2024-02-25,Z01,48000,5006467,5617366,4.56
2024-02-26,Z01,48000,4303764,4828917,3.72
2024-02-27,Z01,48000,4363689,4896154,3.39
2024-02-28,Z01,48000,4511504,5062007,2.94
2024-02-29,Z01,48000,4173814,4683110,2.9
2024-03-01,Z01,48000,4361614,4893827,4.32
2024-03-02,Z01,48000,4999022,5609012,2.87
2024-03-03,Z01,48000,5458141,6124154,3.38
2024-03-04,Z01,48000,4424137,4963979,3.68
2024-03-05,Z01,48000,4591687,5151973,2.3
2024-03-06,Z01,48000,4491910,5040022,2.97
2024-03-07,Z01,48000,4563191,5120001,2.93
2024-03-08,Z01,48000,4355766,4887265,3.27
2024-03-09,Z01,48000,5120766,5745612,3.73
2024-03-10,Z01,48000,5040115,5655120,4.11
2024-03-11,Z01,48000,4882194,5477928,3.27
2024-03-12,Z01,48000,4709670,5284353,3.37
2024-03-13,Z01,48000,4937602,5540098,3.54
2024-03-14,Z01,48000,4719011,5294833,3.2
2024-03-15,Z01,48000,4783350,5367024,3.81
2024-03-16,Z01,48000,5381915,6038627,3.82
2024-03-17,Z01,48000,4815057,5402599,2.24
2024-03-18,Z01,48000,4809706,5396596,3.92
2024-03-19,Z01,48000,5072592,5691560,3.66
2024-03-20,Z01,48000,5000924,5611147,3.73
2024-03-21,Z01,48000,4826955,5415949,4.19
2024-03-22,Z01,48000,4719950,5295888,2.71
2024-03-23,Z01,48000,5650830,6340355,2.97
2024-03-24,Z01,48000,5979432,6709053,3.56
2024-03-25,Z01,48000,5077297,5696839,2.44
2024-03-26,Z01,48000,5066918,5685193,3.49
2024-03-27,Z01,48000,4858429,5451264,4.02
2024-03-28,Z01,48000,5452502,6117827,3.8
2024-03-29,Z01,48000,5490790,6160787,3.64
2024-03-30,Z01,48000,5370884,6026249,3.48
2024-03-31,Z01,48000,5484488,6153715,3.39
2024-04-01,Z01,48000,5202411,5837220,3.36
2024-04-02,Z01,48000,5192597,5826207,3.71
2024-04-03,Z01,48000,5474075,6142032,2.82
2024-04-04,Z01,48000,5590823,6273026,4.33
2024-04-05,Z01,48000,5347817,6000368,3.23
2024-04-06,Z01,48000,5876380,6593427,3.88
2024-04-07,Z01,48000,5973277,6702147,3.64
2024-04-08,Z01,48000,5679909,6372982,3.02
2024-04-09,Z01,48000,5739402,6439735,4.25
2024-04-10,Z01,48000,5604456,6288323,4.14
2024-04-11,Z01,48000,5312161,5960361,2.81
2024-04-12,Z01,48000,5601092,6284548,3.56
2024-04-13,Z01,48000,6563042,7363877,3.7
2024-04-14,Z01,48000,6277003,7042935,2.56
2024-04-15,Z01,48000,5672102,6364222,2.54
2024-04-16,Z01,48000,6438442,7224073,3.18
2024-04-17,Z01,48000,6381493,7160175,2.94
2024-04-18,Z01,48000,6474027,7264001,3.08
2024-04-19,Z01,48000,6367827,7144842,2.94
2024-04-20,Z01,48000,6756998,7581500,3.54
2024-04-21,Z01,48000,6519892,7315462,3.15
2024-04-22,Z01,48000,6067727,6808122,4.16
2024-04-23,Z01,48000,6448454,7235307,3.69
2024-04-24,Z01,48000,6574996,7377290,4.0
2024-04-25,Z01,48000,6100242,6844605,2.76
2024-04-26,Z01,48000,6413203,7195754,3.29
2024-04-27,Z01,48000,6799360,7629031,3.67
2024-04-28,Z01,48000,6693405,7510147,3.83
2024-04-29,Z01,48000,6355048,7130503,3.28
2024-04-30,Z01,48000,6406006,7187680,3.35
2024-05-01,Z01,48000,6722332,7542604,3.4
2024-05-02,Z01,48000,6814182,7645662,3.45
2024-05-03,Z01,48000,6601486,7407012,4.68
2024-05-04,Z01,48000,7262966,8149207,3.76
2024-05-05,Z01,48000,7263336,8149622,3.62
2024-05-06,Z01,48000,6603462,7409229,2.97
2024-05-07,Z01,48000,6704412,7522497,2.98
2024-05-08,Z01,48000,6161553,6913398,3.49
2024-05-09,Z01,48000,6540112,7338149,4.17
2024-05-10,Z01,48000,6796830,7626193,3.5
2024-05-11,Z01,48000,7200309,8078905,3.52
2024-05-12,Z01,48000,7244677,8128687,3.23
2024-05-13,Z01,48000,7140009,8011246,2.73
2024-05-14,Z01,48000,7181366,8057650,3.82
2024-05-15,Z01,48000,7055000,7915864,3.47
2024-05-16,Z01,48000,7231428,8113820,3.82
2024-05-17,Z01,48000,6652680,7464452,3.68
2024-05-18,Z01,48000,7714917,8656307,3.12
2024-05-19,Z01,48000,7868071,8828149,3.71
2024-05-20,Z01,48000,7445829,8354383,2.95
2024-05-21,Z01,48000,7281697,8170223,3.71
2024-05-22,Z01,48000,7190875,8068319,3.57
2024-05-23,Z01,48000,6864822,7702480,4.37
2024-05-24,Z01,48000,7397775,8300465,3.17
2024-05-25,Z01,48000,8001250,8977577,2.94
2024-05-26,Z01,48000,8236229,9241230,3.39
2024-05-27,Z01,48000,7021793,7878606,3.9
2024-05-28,Z01,48000,7856153,8814775,2.2
2024-05-29,Z01,48000,7351843,8248929,4.04
2024-05-30,Z01,48000,7817366,8771256,3.5
2024-05-31,Z01,48000,7574074,8498277,3.03
2024-06-01,Z01,48000,8401677,9426865,3.42
2024-06-02,Z01,48000,8596201,9645126,3.23
2024-06-03,Z01,48000,6857386,7694138,2.99
2024-06-04,Z01,48000,7594787,8521517,2.63
2024-06-05,Z01,48000,7394935,8297279,3.97
2024-06-06,Z01,48000,7915558,8881430,3.32
2024-06-07,Z01,48000,7992051,8967256,3.4
2024-06-08,Z01,48000,8272862,9282333,4.02
2024-06-09,Z01,48000,8091135,9078430,3.63
2024-06-10,Z01,48000,7691163,8629653,2.82
2024-06-11,Z01,48000,7425162,8331195,3.94
2024-06-12,Z01,48000,7819764,8773946,4.34
2024-06-13,Z01,48000,7473031,8384904,3.85
2024-06-14,Z01,48000,8040599,9021729,3.17
2024-06-15,Z01,48000,8145010,9138880,2.86
2024-06-16,Z01,48000,8368528,9389672,3.15
2024-06-17,Z01,48000,7704468,8644582,3.65
2024-06-18,Z01,48000,7734490,8678267,4.31
